"Function / Thread / Logical Core / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address","PID","TID"
"func@0x180036b40","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ucrtbase.dll","func@0x180036b40","[Unknown]","0x180036b40","0","0"
"func@0x1800177c7","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x1800177c7","[Unknown]","0x1800177c7","0","0"
"func@0x180017020","0.01","19968000","154752000","0.129032","0","0","1","0","0","0","0","0","0","1.9968e+09","ntdll.dll","func@0x180017020","[Unknown]","0x180017020","0","0"
"func@0x180016afa","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x180016afa","[Unknown]","0x180016afa","0","0"
"func@0x180016920","0.001","2496000","12480000","0.2","0","0","1","0","0","0","0","0","0","2.496e+09","ntdll.dll","func@0x180016920","[Unknown]","0x180016920","0","0"
"func@0x1800093a0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ucrtbase.dll","func@0x1800093a0","[Unknown]","0x1800093a0","0","0"
"func@0x140d51440","0.001","2496000","0","","0","0","1","0","0","0","0","0","0","2.496e+09","nvlddmkm.sys","func@0x140d51440","[Unknown]","0x140d51440","0","0"
"func@0x140d2aee0","0.002","4992000","0","","0","0","1","0","0","0","0","0","0","2.496e+09","nvlddmkm.sys","func@0x140d2aee0","[Unknown]","0x140d2aee0","0","0"
"func@0x140acd5f0","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","nvlddmkm.sys","func@0x140acd5f0","[Unknown]","0x140acd5f0","0","0"
"func@0x1409abaa0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1409abaa0","[Unknown]","0x1409abaa0","0","0"
"func@0x1409ab320","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1409ab320","[Unknown]","0x1409ab320","0","0"
"func@0x14087afbe","0.001","2496000","0","","0","0","1","0","0","0","0","0","0","2.496e+09","ntoskrnl.exe","func@0x14087afbe","[Unknown]","0x14087afbe","0","0"
"func@0x140858640","0","2496000","2496000","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140858640","[Unknown]","0x140858640","0","0"
